id,answer
1,e
2,e
3,b
4,e
5,d
6,b
7,c
8,c
9,d
10,a
11,c
12,d
13,e
14,c
15,b
16,a
17,e
18,d
19,e
20,e
21,c
22,a
23,d
24,c
25,d
26,c
27,c
28,d
29,e
30,d
31,e
32,c
33,d
34,b
35,e
36,e
37,b
38,d
39,d
40,a
41,a
42,c
43,d
44,a
45,a
46,e
47,d
48,c
49,c
50,b
51,d
52,a
53,a
54,e
55,b
56,e
57,d
58,a
59,a
60,c
61,a
62,e
63,e
64,c
65,d
66,b
67,a
68,c
69,c
70,a
71,b
72,c
73,d
74,c
75,e
76,e
77,d
78,d
79,e
80,b
81,d
82,a
83,e
84,c
85,e
86,a
87,e
88,d
89,a
90,e
91,b
92,c
93,c
94,c
95,b
96,b
97,e
98,c
99,a
100,d
101,c
102,e
103,a
104,d
105,a
106,c
107,d
108,d
109,e
110,c
111,d
112,e
113,d
114,a
115,a
116,d
117,d
118,e
119,d
120,d
121,a
122,d
123,a
124,e
125,a
126,b
127,e
128,e
129,d
130,a
131,d
132,a
133,a
134,d
135,d
136,b
137,d
138,e
139,a
140,d
141,e
142,e
143,a
144,c
145,e
146,b
147,c
148,b
149,b
150,d
151,b
152,e
153,b
154,d
155,d
156,c
157,c
158,e
159,a
160,c
161,c
162,d
163,d
164,c
165,d
166,b
167,d
168,c
169,b
170,c
171,d
172,e
173,a
174,d
175,b
176,d
177,a
178,a
179,b
180,a
181,e
182,a
183,b
184,b
185,e
186,d
187,a
188,c
189,e
190,a
191,b
192,b
193,d
194,d
195,d
196,a
197,a
198,b
199,b
200,a
201,c
202,c
203,a
204,a
205,b
206,c
207,e
208,d
209,c
210,b
211,a
212,a
213,e
214,e
215,e
216,a
217,b
218,b
219,a
220,e
221,e
222,c
223,a
224,d
225,e
226,d
227,b
228,a
229,a
230,d
231,e
232,b
233,d
234,a
235,a
236,b
237,d
238,d
239,e
240,a
241,a
242,c
243,e
244,c
245,d
246,b
247,b
248,c
249,d
250,b
251,a
252,a
253,a
254,b
255,e
256,d
257,c
258,a
259,a
260,c
261,a
262,c
263,b
264,d
265,a
266,b
267,e
268,a
269,d
270,e
271,a
272,e
273,c
274,a
275,b
276,b
277,c
278,a
279,b
280,d
281,a
282,d
283,b
284,e
285,c
286,b
287,b
288,c
289,b
290,c
291,a
292,d
293,b
294,b
295,b
296,b
297,e
298,d
299,b
300,a
301,a
302,a
303,b
304,b
305,e
306,b
307,b
308,a
309,e
310,a
311,d
312,e
313,d
314,b
315,c
316,e
317,c
318,a
319,a
320,c
321,c
322,c
323,d
324,c
325,d
326,a
327,b
328,e
329,d
330,a
331,d
332,e
333,c
334,c
335,c
336,d
337,e
338,d
339,e
340,c
341,a
342,d
343,b
344,b
345,a
346,c
347,d
348,e
349,d
350,e
351,d
352,a
353,d
354,e
355,d
356,a
357,d
358,c
359,a
360,c
361,d
362,e
363,b
364,d
365,d
366,c
367,c
368,d
369,c
370,d
371,a
372,d
373,e
374,b
375,b
376,d
377,e
378,d
379,c
380,d
381,d
382,b
383,a
384,d
385,e
386,a
387,a
388,a
389,a
390,b
391,e
392,e
393,b
394,b
395,e
396,a
397,b
398,e
399,b
400,a
401,a
402,a
403,b
404,b
405,b
406,c
407,e
408,c
409,d
410,e
411,a
412,b
413,a
414,e
415,e
416,a
417,e
418,c
419,e
420,c
421,d
422,c
423,d
424,b
425,a
426,a
427,c
428,e
429,a
430,e
431,c
432,b
433,d
434,d
435,d
436,e
437,b
438,b
439,d
440,a
441,c
442,a
443,a
444,d
445,c
446,e
447,d
448,b
449,d
450,d
451,e
452,a
453,b
454,c
455,c
456,c
457,e
458,b
459,c
460,a
461,b
462,a
463,b
464,b
465,a
466,e
467,a
468,d
469,d
470,a
471,b
472,e
473,a
474,a
475,e
476,c
477,d
478,a
479,b
480,d
481,e
482,d
483,a
484,d
485,a
486,a
487,d
488,c
489,a
490,d
491,d
492,d
493,e
494,b
495,c
496,b
497,b
498,e
499,c
500,d
501,e
502,e
503,a
504,e
505,d
506,d
507,b
508,c
509,e
510,d
511,c
512,e
513,c
514,b
515,e
516,b
517,d
518,e
519,c
520,e
521,e
522,e
523,d
524,c
525,a
526,e
527,b
528,d
529,b
530,a
531,b
532,b
533,a
534,b
535,b
536,e
537,a
538,b
539,d
540,b
541,c
542,a
543,a
544,e
545,a
546,c
547,a
548,c
549,c
550,a
551,b
552,c
553,a
554,d
555,d
556,b
557,e
558,c
559,d
560,c
561,e
562,e
563,c
564,e
565,c
566,d
567,e
568,a
569,b
570,e
571,a
572,e
573,a
574,b
575,d
576,b
577,a
578,e
579,d
580,c
581,a
582,c
583,e
584,c
585,b
586,a
587,c
588,c
589,a
590,d
591,d
592,d
593,a
594,c
595,a
596,d
597,d
598,c
599,a
600,d
601,e
602,c
603,d
604,d
605,d
606,a
607,b
608,a
609,c
610,d
611,c
612,a
613,a
614,b
615,b
616,a
617,d
618,c
619,c
620,c
621,d
622,c
623,a
624,a
625,b
626,c
627,a
628,d
629,b
630,d
631,e
632,b
633,e
634,c
635,c
636,b
637,a
638,b
639,b
640,c
641,b
642,b
643,a
644,b
645,e
646,c
647,b
648,a
649,d
650,a
651,e
652,d
653,e
654,a
655,c
656,c
657,d
658,a
659,c
660,d
661,c
662,d
663,a
664,d
665,b
666,e
667,b
668,e
669,d
670,a
671,a
672,b
673,e
674,e
675,c
676,e
677,e
678,d
679,b
680,b
681,e
682,b
683,d
684,c
685,d
686,e
687,e
688,d
689,c
690,e
691,b
692,c
693,e
694,b
695,e
696,c
697,c
698,b
699,d
700,b
701,a
702,d
703,c
704,b
705,c
706,a
707,d
708,b
709,c
710,d
711,b
712,d
713,b
714,d
715,a
716,d
717,e
718,e
719,a
720,a
721,c
722,c
723,d
724,b
725,a
726,e
727,d
728,e
729,c
730,c
731,e
732,b
733,e
734,b
735,d
736,d
737,e
738,a
739,d
740,e
741,c
742,e
743,b
744,e
745,d
746,e
747,d
748,d
749,a
750,e
751,b
752,c
753,c
754,a
755,d
756,a
757,b
758,a
759,e
760,e
761,a
762,d
763,e
764,e
765,b
766,e
767,d
768,a
769,b
770,a
771,c
772,d
773,d
774,c
775,a
776,c
777,e
778,c
779,c
780,e
781,c
782,d
783,d
784,a
785,c
786,e
787,d
788,c
789,d
790,b
791,d
792,e
793,a
794,b
795,e
796,b
797,a
798,e
799,d
800,d
801,d
802,a
803,d
804,e
805,b
806,d
807,a
808,b
809,c
810,c
811,e
812,c
813,e
814,c
815,a
816,d
817,d
818,a
819,d
820,b
821,a
822,b
823,e
824,b
825,a
826,b
827,e
828,a
829,b
830,b
831,c
832,c
833,e
834,c
835,e
836,d
837,c
838,c
839,d
840,d
841,c
842,d
843,b
844,c
845,c
846,d
847,d
848,b
849,a
850,d
851,e
852,b
853,a
854,b
855,c
856,c
857,b
858,e
859,d
860,c
861,d
862,e
863,e
864,a
865,b
866,c
867,b
868,b
869,c
870,c
871,d
872,e
873,e
874,a
875,d
876,e
877,d
878,c
879,b
880,b
881,a
882,e
883,e
884,d
885,c
886,d
887,e
888,d
889,a
890,b
891,d
892,e
893,d
894,a
895,d
896,d
897,a
898,b
899,e
900,e
901,b
902,d
903,a
904,b
905,d
906,c
907,e
908,c
909,e
910,a
911,a
912,d
913,a
914,c
915,b
916,e
917,a
918,e
919,c
920,b
921,b
922,a
923,c
924,c
925,c
926,a
927,d
928,c
929,c
930,a
931,a
932,a
933,d
934,b
935,a
936,e
937,b
938,b
939,a
940,d
941,e
942,c
943,a
944,c
945,a
946,a
947,d
948,b
949,e
950,e
951,b
952,a
953,c
954,e
955,e
956,e
957,a
958,a
959,e
960,c
961,d
962,c
963,d
964,d
965,b
966,b
967,d
968,d
969,b
970,b
971,c
972,b
973,e
974,e
975,e
976,d
977,c
978,e
979,b
980,a
981,d
982,c
983,c
984,a
985,e
986,d
987,c
988,d
989,a
990,c
991,b
992,d
993,d
994,a
995,d
996,b
997,a
998,c
999,a
1000,a
1001,a
1002,b
1003,a
1004,e
1005,c
1006,b
1007,a
1008,a
1009,c
1010,d
1011,e
1012,b
1013,a
1014,c
1015,d
1016,a
1017,c
1018,b
1019,d
1020,c
1021,b
1022,e
1023,e
1024,b
1025,e
1026,d
1027,c
1028,b
1029,d
1030,d
1031,a
1032,c
1033,e
1034,c
1035,e
1036,d
1037,b
1038,a
1039,e
1040,c
